vname,lname
a105331, (고용형태)일하는 곳에서의 지위
a105334, (고용형태)임금을 지급하는 곳의 업종(산업) - code
a105335, (고용형태)임금을 지급하는 곳의 전체 종업원 수
a105336, (고용형태)임금을 지급하는 곳에서의 지위
a105337, (고용형태)고용보험 가입여부
a105338, (고용형태)고용보험료 납입회사
a105339, (고용형태)건강보험 가입여부
a105340, (고용형태)건강보험료 납입회사
a105341, (고용형태)국민연금 가입여부
a105342, (고용형태)국민연금료 납입회사
a105343, (고용형태)시간외 근로수당
a105344, (고용형태)시간외 근로수당 지급 업체
a105345, (고용형태)고객회사로 배치 받은 경험
a105346, (고용형태)고객회사로 배치 받은 횟수
a105347, (고용형태)현재 업무와 직전 고객회사 업무와 비교
a105348, (고용형태)직전 고객회사와 현 고객회사 근무 사이에 한 일
a105349, (고용형태)일하는 고객회사에 정규직이 있는지 여부
a105350, (고용형태)일하는 고객회사에서 동일한 교육기회 여부
a105351, (고용형태)일하는 고객화사에 동일한 업무하는 자 있는지 여부
a105352, (고용형태)일하는 곳에 상급자 있는지 여부
a105353, (고용형태)상급자의 고용형태
a105354, (고용형태)일하는 곳에 하급자 있는지 여부
a105355, (고용형태)하급자의 고용형태
a105356, (고용형태)선호하는 고용형태
a105357, (고용형태)현재의 고용형태로 일하는 이유
a105358, (고용형태)일하고 있는 곳에서 정규직으로 전환 가능성
a105359, (고용형태)일하고 있는 곳에서 정규직 전환 희망 여부
a105360, (고용형태)임금을 주는 곳과 계약 지속 가능 여부
a105361, (고용형태)임금을 주는 곳에서 일하기 전 일자리
a105362, (고용형태)전 일자리의 고용형태가 간접고용이었는지 여부
a105363, (고용형태)전 일자리의 고용형태가 정규직이었는지 여부
a105364, (고용형태)회사로 부터 받은 서비스1
a105365, (고용형태)회사로 부터 받은 서비스2
a105366, (고용형태)회사로 부터 받은 서비스3
a105367, (고용형태)회사로 부터 받은 서비스4
a105368, (고용형태)임금을 주는 곳에 노동조합이 있는지 여부
a105369, (고용형태)노동조합원인지 여부
a105400, (고용형태)현 일자리가 필요할 때만 연락받고 일하는 일자리인지 여부
a105401, (고용형태)현 일자리가 일용직인지 여부
a105402, (고용형태)정규직 일자리를 선호하는지 여부
a105403, (고용형태)일시적 성격의 일을 하게된 이유
a105404, (고용형태)현재의 고용형태로 일한 기간
a105405, (고용형태)안전정이고 오래 일할 수 있는 고용형태 경험
a105500, (고용형태)현 직장의 경영형태
a105501, (고용형태)자영자 중 프리랜서인지 여부
a105502, (고용형태)현 직장(일)이 개인적으로 고객을 찾거나 맞이하는지 유무
a105503, (고용형태)영업계약을 맺고 있는지 여부
a105504, (고용형태)특수고용 중 프리랜서 여부
a105505, (고용형태)월평균 소득
a105506, (고용형태)월평균 소득 중 기본급이 있는지 여부
a105507, (고용형태)월평균 기본급 액수
a105508, (고용형태)계약 체결한 곳의 형태
a105509, (고용형태)계약 업체로 부터 업무지시를 받는지 여부
a105510, (고용형태)업무수행 시 필요한 도구 제공되는지 여부
a105511, (고용형태)사업자 등록증이 있는지 여부
a105512, (고용형태)계약된 업체의 수
a105513, (고용형태)전속계약 여부
a105514, (고용형태)계약기간 (년)
a105515, (고용형태)계약기간 (개월)
a105516, (고용형태)계약기간 (일)
a105517, (고용형태)현재 계약 업체와 일할 기간
a105518, (고용형태)계약 종료 후 다른 업체 계약 할지 여부
a105519, (고용형태)일하는 곳에 상급자가 있는지 여부
a105520, (고용형태)상급자와 동일한 고용형태인지 여부
a105521, (고용형태)일하는 곳에 하급자가 있는지 여부
a105522, (고용형태)하급자와 동일한 고용형태인지 여부
a105523, (고용형태)정규직 일자리를 선호하는지 여부
a105524, (고용형태)현재 고용형태로 일하는 이유
a105525, (고용형태)현 계약 업체에서 정규직으로 전환 가능성
a105526, (고용형태)현 계약 업체에서 정규직으로 전환 희망 여부
a105527, (고용형태)현 일자리가 첫 직장인지 여부
a105528, (고용형태)전 일자리에서의 고용형태
a105529, (고용형태)전 일자리가 정규직인지 여부
a105530, (고용형태)현 일자리에 노동조합이 있는지 여부
a105531, (고용형태)노동조합 가입 여부
a105532, (고용형태)노동조합 의무 가입 여부
a105533, (고용형태)노동조합 탈퇴 의향
a105534, (고용형태)노동조합에 가입 안한 이유
a105535, (고용형태)노동조합 가입 의향
a105600, (고용형태)일하는 곳에 전일제 근무자가 있는지 여부
a105601, (고용형태)전일제 근무자보다 근무시간이 짧은지 여부
a105602, (고용형태)전일제 근무자와 동일한 승진기회 여부
a105603, (고용형태)전일제 근무자와 동일한 교육기회 여부
a105604, (고용형태)전일제 근무자와 동일한 상여금 혜택 여부
a105605, (고용형태)전일제 근무자와 동일한 사회보험 혜택 여부
a105606, (고용형태)전일제 근무자와 동일한 퇴직금 받는지 여부
a105607, (고용형태)동일한 업무를 하는 전일제 근무자 있는지 여부
a105608, (고용형태)일하고 있는 곳에 상급자가 있는지 여부
a105609, (고용형태)상급자와 동일한 고용형태인지 여부
a105610, (고용형태)일하고 있는 곳에 하급자가 있는지 여부
a105611, (고용형태)하급자와 동일한 고용형태인지 여부
a105612, (고용형태)전일제 일자리 선호 여부
a105613, (고용형태)시간제로 일하는 이유
a105614, (고용형태)일하는 곳에 전일제 전환 가능성
a105615, (고용형태)일하는 곳에서 전일제 전환 희망 여부
a105616, (고용형태)현 일자리가 첫 직장인지 여부
a105617, (고용형태)전 직장에서 시간제로 일했는지 여부
a105618, (고용형태)전 직장에서 전일제로 일했는지 여부
a105700, (고용형태)현 업무 최소 적응 기간
a105701, (고용형태)현 업무의 성격
a105702, (고용형태)현 업무 문제 발생 시 원인 파악 여부
a105703, (고용형태)호봉제 임금형태인지 여부
a105704, (고용형태)이직 희망 여부
a105705, (고용형태)퇴직금 지급 방식
version,21차년도 release 자료
